,Name,ID
0,Mahashivratri,37i9dQZF1DWUAOn5dYbrDa
1,Hare Krishna,37i9dQZF1DWTT2uaNCuEwQ
2,Magical Mantras,37i9dQZF1DX6o0zIiTnhmq
3,Diwali Aartis & Bhajans,37i9dQZF1DWV6eas0o9JXU
4,Ganpati Bappa Moreya,37i9dQZF1DWWewwIBnx9QZ
5,Divine Vibes,37i9dQZF1DX2LmjTY2eac5
6,Shubh Navratri,37i9dQZF1DWXw5zio80eKE
7,Spiritual Gurbani,37i9dQZF1DXdE1pRJvqV46
8,Satnam Sri Waheguru Ji,37i9dQZF1DX1ZY1DoggQaf
9,Gurpurab Sir Guru Nanak Dev Ji,37i9dQZF1DWW7cvWerSDSE
10,Gurpurab Sri Guru Gobind Singh Ji,37i9dQZF1DXbXt1ne2kKHF
11,Arulvaai Amma,37i9dQZF1DWSUgfe6Uscrg
12,Bakthi Paravasam,37i9dQZF1DWXf6ZGWAdbTv
13,Va Velava,37i9dQZF1DX320o1OKSfrB
14,Sivamayam,37i9dQZF1DX99uWIVpEfEo
15,Thirumalai Vasa,37i9dQZF1DX4pymDDnhgh5
16,Divine Vibes,37i9dQZF1DX2LmjTY2eac5
17,Mahalakshmi Varugave,37i9dQZF1DXa8i8ZJMh0XN
18,Saranam Ayyappa,37i9dQZF1DWVfrDATERzTO
19,Aanai Mugane,37i9dQZF1DWXDFLnBwfCyF
20,Venu Gaanam,37i9dQZF1DWVp8LRioQNEg
21,Jeya Jeya Devi,37i9dQZF1DWVedfPRW0PdM
22,Om Sai Ram,37i9dQZF1DX8CNkCrszfOI
23,Arulmigu Allah,37i9dQZF1DX2Ls6Xc6nBpQ
24,Anbana Yesuve,37i9dQZF1DXca8oozNAXQZ
25,Bhakthi Sangamam,37i9dQZF1DXceWgpEWWX8E
26,Srirama Jayarama,37i9dQZF1DWZHLjtVAnWkK
27,Mahalakshmi Raave,37i9dQZF1DX9ZFu7C6StXY
28,Gana Nayaka,37i9dQZF1DWTjBIefn3Ex4
29,Swamy Ayyappa,37i9dQZF1DWTdIhpjgvjpe
30,Sri Hari Govinda,37i9dQZF1DWTOMCr7Krt0T
31,Jaya Janardhana,37i9dQZF1DX4ZvR5dcTymk
32,Bhaje Hanuman,37i9dQZF1DX1mbxDMgRa25
33,Deva Mahadeva,37i9dQZF1DX9YXuNKV4VV4
34,Sri Sai Ram,37i9dQZF1DX0nTtcjiAsVk
35,Ammavari Paatalu,37i9dQZF1DXc9YkWVwiCxC
36,Yesu Deva,37i9dQZF1DXbUnUAeszXFS
37,Deepavali Aarti,37i9dQZF1DWYh0j3CVjj3w
